CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Mackenzie West,Legislative Assistant,2022-10-14,2023-05-29,2,Mackenzie West
Mackinnon Steve,Member of Parliament,2020-02-25,2020-02-25,1,Mackinnon Steve
Macleod Catherine,Associate Assistant Deputy Minister,2012-07-31,2012-07-31,1,MacLeod Catherine
Madaison Tapelus,Policy Advisor,2024-09-19,2024-09-19,1,Madaison Tapelus 
Madeleine Wieler,"Senior Regional Advisor, Ontario",2022-11-04,2024-12-03,31,"Madaleine Wieler, Madeleine  Wieler, Madeleine  Wieler , Madeleine Wieler, Madeleine Wieler , Madeline Wieler"
Maddie Morris,"Trade Commissioner, Aerospace",2022-12-21,2022-12-21,1,Maddie Morris
Madeleine Chabot,"Director, Partnership Relations",2023-02-17,2023-02-17,1,Madeleine Chabot
Madeleine Chenette,"Ambassador, OECD",2021-11-04,2024-11-13,2,Madeleine Chenette
Madeleine Dussault,"Assistant Deputy Commissioner, Competition",2013-04-24,2013-04-24,1,Madeleine Dussault
Madeleine Fequiere,"Consul General, Canada in Chicago",2024-04-10,2024-06-17,4,"Madeleine Fequiere, Madeleine Féquière"
Madeleine Gainey,Staffer,2023-02-14,2023-10-17,4,Madeleine Gainey
Madeleine Gomery,"Assistant, Parliamentary Relations and Operations",2019-01-11,2024-10-01,28,"Madeleine Gomery, Madeline Gomery"
Madeleine Martin,Parliamentary Intern,2022-10-20,2024-04-16,3,"Madeleine Martin, Madeline Martin"
Madeleine Montelongo,Advisor,2022-03-18,2022-05-11,2,Madeleine Montelongo
Madeleine Walker,"Deputy Director, Policy",2024-10-09,2024-10-09,1,Madeleine  Walker
Madeleine Weiler,Policy Advisor,2023-09-26,2024-12-10,8,"Madeleine Weiler, Madeleine Wheeler"
Madeliene Gomery,Policy Advisor,2020-02-05,2020-02-05,1,Madeliene Gomery
Madeliene Wieler,Special Assistant,2024-02-26,2024-02-26,1,Madeliene Wieler
Madeline Belanger Trottier,Economic Analyst,2023-01-24,2023-12-20,2,"Madeline Belanger Trottier, Madeline Bélanger Trottier"
Madeline Hewett,Manager,2022-11-14,2024-07-05,4,"Madeline  Hewett, Madeline Hewett"
Madeline Hewitt,"Senior Analyst, Trade and Regulatory Team",2015-02-02,2015-02-02,1,Madeline Hewitt
Madeline Inchley,Policy Advisor,2024-06-10,2024-06-10,1,Madeline Inchley
Madeline Stieva,Executive Assistant,2014-06-09,2015-05-28,3,Madeline Stieva
Madeline Weiler,Regional Advisor,2024-08-21,2024-08-21,1,Madeline Weiler
Madelyn Mckeen,Policy Analyst,2021-07-27,2021-07-27,1,Madelyn McKeen
Mader Dan,Senior Policy Advisor,2008-11-06,2008-11-06,1,Mader Dan
Madga Little,Manager,2017-06-27,2017-06-27,1,Madga Little
Madhav Panday,Primary Analyst,2024-09-19,2025-02-11,3," Madhav  Panday , Madhav Panday"
Madhvi Russell,Director,2016-10-28,2023-10-24,8,"Madhvi Russel, Madhvi Russell, Madvhi Russel"
