CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Tania Amghar,Regional Advisor | Policy Advisor,2018-01-09,2025-02-12,34," Tania Amghar, Tania  Amghar, Tania Amghar"
Tania Amghard,Policy Advisor and Regional Advisor for Quebec,2022-12-05,2022-12-05,1,Tania Amghard
Tania Belisle-leclerc,Director of Policy,2018-08-15,2025-03-24,56,"Tania  Belisle-Leclerc, Tania  Belisle-Leclerc , Tania Belisle - Leclerc, Tania Belisle LeClerc, Tania Belisle-Leclerc, Tania Belisle-Leclerc , Tania Bélisle-Leclerc"
Tania Bennett,"Senior Advisor to the Vice President, Innovation",2020-11-04,2020-11-04,1,Tania Bennett
Tania Bourassa-ochoa,Deputy Chief Economist,2024-07-11,2024-07-11,1,Tania Bourassa-Ochoa
Tania Frank,"Manager, PIPEDA Investigations",2016-03-23,2016-03-23,1,Tania Frank
Tania Gordanier,"Manager, Contaminated Sites and Major Project Coordination",2019-02-01,2025-02-20,3,"Tania  Gordanier, Tania Gordanier"
Tania Mackinnon,Senior Development Officer,2022-07-13,2022-07-13,1,Tania MacKinnon
Tania Mcclements,Senior Program Officer,2008-10-10,2008-10-10,1,Tania McClements
Tania Monaghan,Director of Rights Implementation,2021-12-02,2024-04-12,13,"Tania  Monoghan, Tania Monaghan"
Tania Vogel,Senior Energy Policy Analyst,2021-06-25,2021-07-27,2,Tania Vogel
Tanis Stefanis,Associate Vice President,2022-05-17,2022-05-17,1,Tanis Stefanis
Tanjan Islam,Economist,2023-06-29,2023-06-29,1,Tanjan Islam
Tanjana Islam,Analyst,2022-09-21,2024-09-06,3,Tanjana Islam
Tanmay Praharaj,Head,2018-02-23,2024-06-11,3,Tanmay Praharaj
Tannis Bujaczek,Director,2023-07-05,2023-07-05,1,Tannis Bujaczek 
Tanuga Kulkarni,Manager,2018-03-16,2018-03-16,1,Tanuga Kulkarni
Tanuja Mukhedkar,Senior Program Engineer,2024-08-28,2024-08-28,1,Tanuja Mukhedkar
Tanveer Kaur,Regional Advisor,2023-10-04,2023-10-04,1,Tanveer Kaur
Tanveer Kaur Tur,"Regional Advisor, Ontario",2023-04-26,2025-02-01,7,"Tanveer  Kaur Tur, Tanveer Kaur Tur, TanveerKaur Tur, Tanveerkaur Tur"
Tanveer Sandhu,Stakeholder Relations and Outreach Advisor,2022-04-06,2023-09-01,10,Tanveer Sandhu
Tanveer Tur,"Regional Advisor, Ontario",2024-11-07,2024-11-07,1,Tanveer Tur
Tanya Dare,Manager | Senior Policy Advisor,2015-03-02,2021-05-12,2,Tanya Dare
Tanya Day,Executive Director,2023-08-23,2024-05-28,7,Tanya Day
Tanya Dupis,Advisor,2018-11-27,2018-11-27,2,"Tanya Dupis, Tanya Dupuis"
Tanya Gadzos,Senior Program Officer,2024-11-08,2024-11-25,3,Tanya Gadzos
Tanya Hinton,Senior Advisor and Specialist,2021-07-09,2025-02-06,3,Tanya Hinton
