CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Kerry Anderson,Director,2024-01-09,2024-05-08,3,"Kelly Anderson, Kerry Anderson"
Kerry Buck,Assistant Secretary,2013-09-11,2020-10-22,8,Kerry Buck
Kerry Cundal,Senior Special Assistant,2016-05-30,2017-02-17,3,Kerry Cundal
Kerry Dillabaugh,Executive Assistant,2020-06-10,2020-06-10,1,Kerry Dillabaugh
Kerry Diotte,Member of Parliament,2015-12-01,2021-06-03,108,"Kerry Diotte, Kerry Doitte"
Kerry Findlay,Member of Parliament,2020-04-06,2020-04-06,1,Kerry Findlay
Kerry Harnish,Special Advisor,2011-11-09,2017-06-20,32,Kerry Harnish
Kerry Larkin,"Senior Advisor, Controlled Substance",2017-04-27,2017-04-27,1,Kerry Larkin
Kerry Lee,Executive Administrator,2023-11-28,2023-11-28,1,Kerry Lee
Kerry Lynne,Member of Parliament,2015-09-14,2015-09-14,1,Kerry Lynne
Kerry Max,"Deputy Director, Climate Finance",2016-10-14,2024-04-26,17,Kerry Max
Kerry Rhoades,Senior Analyst,2014-07-16,2014-07-16,1,Kerry Rhoades
Kerry Wrishko,Executive Assistant,2010-11-05,2010-11-05,1,Kerry Wrishko
Kerry-ann Taylor,Communications Officer,2015-01-27,2015-01-27,1,Kerry-Ann Taylor
Kerry-lynne Findlay,Member of Parliament,2011-06-14,2024-12-13,228,"Hon. Hon Kerry-Lynne D Findlay, Hon. Kerry-Lynne Findlay, Kerri-Lynne Findlay, Kerry Lynne Findlay, Kerry Lynne Finley, Kerry Lynne-Findlay, Kerry-Lynn Findlay, Kerry-Lynne  Findlay , Kerry-Lynne D Findlay, Kerry-Lynne D. Findlay, Kerry-Lynne Findlay, Kerry-Lynne Findley"
Kerstie Fenwick,Senior Program Engineer,2024-10-30,2024-10-30,1,Kerstie Fenwick
Kesley Zwaan,Scheduling Assistant,2017-06-21,2017-06-21,1,Kesley Zwaan
Ketty Amador,Associate Director,2024-10-01,2024-10-21,3,Ketty Amador
Keva Mckennirey,Deputy Director,2017-04-04,2025-04-16,13,"Keva McKennierey, Keva McKennirey"
Kevin Brosseau,"Assistant Deputy Minister, Safety and Security",2013-01-31,2025-05-20,271,"Keven Brosseau, Kevin  Brosseau, Kevin Brasseau, Kevin Brosseau, Kevin Brousseau"
Kevin Cash,Director General,2016-11-28,2021-11-25,47,"Kevi Cash, Kevin Cash"
Kevin Anderson,Regional Director,2016-03-07,2016-03-07,1,Kevin Anderson
Kevin Arbister,Consultation Coordinator,2017-12-14,2017-12-14,1,Kevin Arbister
Kevin Atkins,Advisor,2016-02-09,2019-03-26,8,"Kevin Atkins, kevin Atkins"
Kevin Bernard,"Senior Policy Advisor, Labour",2015-05-07,2015-05-07,1,Kevin Bernard
Kevin Blair,"Manager, Regional and Strategic Assessment Policy",2021-03-11,2021-03-11,1,Kevin Blair
Kevin Bolduc,Senior Executive Advisor,2020-06-16,2020-06-29,2,Kevin Bolduc
Kevin Bosch,Deputy Director,2013-09-18,2016-09-16,4,Kevin Bosch
Kevin Broadway,Assistant Deputy Minister,2019-02-25,2019-02-25,1,Kevin Broadway
Kevin Broseau,Associate Deputy Minister,2023-11-28,2023-11-28,1,Kevin Broseau
Kevin Cameron,"Director, Transition Services",2018-04-09,2018-11-29,4,Kevin Cameron
Kevin Caron,Market Analyst,2023-03-14,2023-08-22,3,Kevin Caron
Kevin Chan,Senior Policy Advisor to the Leader,2010-11-23,2011-02-24,3,Kevin Chan
Kevin Charlton,"District Director, Coast and Yukon",2024-08-01,2024-08-01,1,Kevin Charlton
Kevin Cliffe,"Director, Petroleum Division",2009-03-20,2009-03-20,1,Kevin Cliffe
Kevin Cockell,Division Chief,2015-01-16,2015-01-16,1,Kevin Cockell
Kevin Collins,Director of Issues Management,2020-02-18,2025-02-28,6,"Kevin  Collins, Kevin Collins"
Kevin Coon,Chief of Staff,2023-09-13,2024-12-13,175,"Kevin  Coom, Kevin  Coon, Kevin Cook, Kevin Coon, Kevin Coon , Kevin Coone, Kevin Koon, Kevin coon, kevin  coon, kevin coon"
Kevin Deagle,Senior Policy Advisor,2018-10-04,2023-10-04,840,"Keven  Deagle , Kevin Daigle, Kevin Deagle, Kevin Deagle , Kevin Reagle, kevin Deagle"
Kevin Degaust,Chief of Staff,2014-09-25,2014-09-25,1,Kevin DeGaust
