CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Rachel Soares,Trade Commissioner,2019-10-23,2019-10-23,1,Rachel Soares
Rachel Sutton,Policy Advisor,2022-12-21,2023-12-09,35,"Rachel Sutton, Rachel Sutton "
Rachel Vallender,"Director, Domestic Engagement and Partnerships, CDB COP15",2022-08-24,2022-10-04,2,Rachel Vallender
Rachel Watterson,Advisor,2023-11-17,2023-11-17,1,Rachel Watterson
Rachel Yantha,Constituency Assistant,2024-12-10,2025-02-27,2,Rachel Yantha
Rachelle Bernardi,Special Assistant,2010-10-19,2010-10-19,1,Rachelle Bernardi
Rachelle Besner,Deputy Director,2024-06-14,2024-10-18,2,Rachelle Besner
Rachelle Boit,Senior Analyst,2014-09-17,2014-09-17,1,Rachelle Boit
Rachelle Constant,Procurement Specialist,2024-02-15,2024-02-15,2,Rachelle Constant
Rachelle Dean,"Manager, Digital Sector Ecosystems",2020-07-02,2020-07-02,1,Rachelle Dean
Rachelle Dubois,Parliamentary Affairs Advisor,2023-08-23,2024-05-29,5,"Rachelle DuBois, Rachelle Dubois"
Rachelle Duval,"Acting Director, Domestic Fisheries Policy",2024-06-14,2024-06-14,1,Rachelle Duval
Rachelle Frenette,General Counsel and Deputy Executive Director,2012-09-05,2024-08-28,6,Rachelle Frenette
Rachelle Mcgregor,"Director, Agile Procurement and Business Management, Enterprise IT Procurement",2024-08-22,2025-01-09,4,Rachelle McGregor
Radan Mackenzie,Issues Manager,2016-07-19,2018-01-17,4,"Radan MacKenzie, Radan Mackenzie"
Radey Barrack,Director of Operations,2016-10-25,2024-08-08,78,"Radey  Barrack, Radey Barrack, Rady Barrack"
Radha Subramani,Director of Operations,2017-05-16,2024-11-26,117,"Rabha Subramani, Radha  Subramani, Radha  Subramani , Radha Subrahami, Radha Subramani, Radha Subramani , radha subramani"
Radhika Sriram,Executive Assistant,2021-12-01,2022-11-22,3,"Radhika  Sriram, Radhika Sriram"
Radian Gurov,"Manager, Policy Management",2016-12-13,2016-12-13,1,Radian Gurov
Radina Petrova,Program Officer,2021-06-29,2021-07-09,2,Radina Petrova
Radm Patrick Finn,Chief of Staff,2014-01-27,2014-01-27,1,RAdm Patrick Finn
Radm Scott Bishop,"Commander, CFINTCOM",2020-01-20,2020-01-20,1,RAdm Scott Bishop
Radm Scott Seg Bishop,"Commander, CFINTCOM",2018-10-02,2018-10-02,1,RAdm Scott SEG Bishop
Rae Gunn,"Manager, Outreach and Community Initiatives",2022-03-22,2022-04-08,3,Rae Gunn
Rafael Jacob,"Special Assistant, Policy",2009-06-12,2009-06-12,1,Rafael Jacob
Rafee Hoque,Economist and Data Analyst,2019-05-27,2023-04-03,5,Rafee Hoque
Raffi Bedrossian,Director,2023-02-27,2023-02-27,1,Raffi Bedrossian
Rafic Grine,Ministerial Staff,2020-06-26,2020-06-26,1,Rafic Grine
Rafik Grine,Policy Advisor,2020-04-27,2021-11-19,37,Rafik Grine
Ragan Siddarth,Executive Director,2025-02-06,2025-02-06,1,Ragan Siddarth
Raghav Chadha,Investment Analyst,2023-09-15,2025-03-21,12,Raghav Chadha
Raghed Al-areibi,Parliamentary Assistant,2022-01-11,2022-05-04,4,"Raghed  Al-Areibi, Raghed Al-Areibi"
Rahel Merissa,Senior Policy Officer,2023-02-13,2023-09-25,4,"Rahel  Merissa, Rahel Merissa"
Rahil Khan,"Deputy Director, Natural Gas",2017-09-19,2022-12-20,50,"Rahil Khan, Rahil khan"
Rahim Charania,"Director, Cyber Security Strategy and Design",2023-03-08,2023-03-08,1,Rahim Charania
Rahima Mian,Policy Advisor,2024-09-24,2025-02-05,6,"Rahima  Mian , Rahima Mian, rahima Mian"
Rahmat Amy Kassam,Acting Chief of Investor Services,2023-05-09,2023-05-09,1,Rahmat Amy Kassam
Rahmat Kassam,Legislative Assistant,2011-10-28,2011-11-08,2,Rahmat Kassam
Rahmat Kassim,Chief Strategy Officer,2024-01-22,2024-01-22,1,Rahmat Kassim
Rahul Bedi,Policy Advisor,2012-11-08,2015-07-09,54,Rahul Bedi
Rahul Devaskar,TCS Officer,2023-06-06,2024-10-18,2,"Rahul Devaskar, Rahul Devaskar "
Rahul Jain,Constituency Assistant,2020-11-20,2020-11-20,1,Rahul Jain
Rahul Walia,Regional Advisor,2024-04-17,2024-11-27,25,"Rahul  Walia , Rahul Walia"
Rainer Engelhardt,Assistant Deputy Minister,2010-04-06,2015-04-01,48,"Dr. Rainer Engelhardt, Dr. Rainer Englehardt, Rainer Engelhardt, Rainer Englehardt, Rainier Engelhardt, Rainier Englehardt, Rayner Engelhardt"
Raitt,"Minister, Natural Resources",2009-09-16,2009-09-16,1,Minister Raitt
Raitt Lisa,Minister,2009-09-16,2009-09-16,1,Raitt Lisa
Raj Abhishek,Senior Policy Advisor,2025-03-04,2025-03-04,1,Raj Abhishek
Raj Gill,Special Assistant,2024-04-25,2025-02-05,3,Raj Gill
Raj Grewal,Member of Parliament,2016-01-22,2019-05-24,114,"Rag Grewal, Raj Grewal"
Raj Saini,Member of Parliament,2015-11-24,2021-08-10,213,"RAJ SAINI, Raj Saini, Raj Sainj, Raj Sainy, Raj Sanai, Raj Sani, raj saini"
Raj Shoan,"Regional Commissioner, Ontario",2013-09-26,2015-03-05,5,Raj Shoan
Raj Thuppal,Assistant Deputy Minister,2016-02-03,2025-05-07,178,"Raj  Thuppal, Raj Thuppal, raj thuppal"
Rajani Alexander,Director,2009-05-04,2009-05-04,1,Rajani Alexander
Rajat Ghosh,Manager,2025-04-17,2025-05-15,2,Rajat Ghosh
Rajeev Ludu,Senior Business Officer,2018-07-26,2025-05-28,2,Rajeev Ludu
Rajesh Sharma,"Senior Vice President, Business Development",2013-12-09,2013-12-09,1,Rajesh Sharma
Rajiv Gupta,Associate Head,2022-01-21,2025-04-24,40,"Rajiv  Gupta, Rajiv Gupta"
Rajotte James,Member of Parliament,2010-11-16,2014-04-08,3,Rajotte James
Rakesh Manhas,Senior Economist,2012-09-20,2012-09-20,1,Rakesh Manhas
Rakesh Patry,Director General,2015-12-09,2023-05-25,9,Rakesh Patry
Rakhi Dhawan,"Manager, Registered Charities",2019-06-04,2019-06-04,1,Rakhi Dhawan
Rakhra Balsharan,Senior Policy Advisor,2021-04-20,2021-06-16,2,Rakhra Balsharan
Ralph Collins,Director General,2017-10-31,2017-10-31,1,Ralph Collins
