CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Harold Albrecht,Member of Parliament,2008-12-18,2019-07-15,432,"Dr. Harold Albrecht, Dr. Harold Albrecht, M.P., HAROLD ALBRECHT, Harold Alberecht, Harold Albrecht, Harold Albrecht MP, Harold Albrecht, M.P., Harold Albrect, Harold Albreicht, Harold Albretch, Mr. Harold Albrecht, harold Albrecht, harold albrtecht"
Harold Boies,"Director, Periodical Policy and Programs",2016-06-01,2022-10-07,21,"Harold  Boies, Harold Boies"
Harold Boudreau,Pharmacy Consultant,2010-03-25,2010-03-25,1,Harold Boudreau
Harold Deck,"Senior Manager, Industrial Development",2013-11-12,2013-11-12,1,Harold Deck
Harold Dremin,Chief of Investor Services,2024-06-04,2025-03-04,4,Harold Dremin
Harold Gallagher,"Director, Financial Stability Retail Payments Oversight",2020-11-19,2020-11-19,2,Harold Gallagher
Harold Leadlay,Environment Assessment Officer,2013-04-23,2013-11-29,2,Harold Leadlay
Harold Wetston,Senator,2017-06-20,2017-06-20,1,Harold Wetston
Haroon Sritharan,Constituency Assistant,2021-05-04,2023-04-20,3,"Haroon Sritharan, haroon sritharan"
Harpreet Kochar,Associate Deputy Minister,2015-12-04,2024-10-31,25,"Dr. Harpreet Kocchar, Dr. Harpreet S Kochhar, Dr. Harpreet S Kochhar , Harpeet Kochhar, Harpreet  Kochar, Harpreet Kocchar, Harpreet Kochaar, Harpreet Kochar, Harpreet Kochbar"
Harper Stephen,Prime Minister of Canada,2009-02-26,2009-02-26,1,Harper Stephen
Harpreet Kachhar,Vic,2017-02-16,2017-02-16,1,Harpreet Kachhar
Harpreet Kochhar,President,2011-07-14,2025-05-01,184,"Dr. Harpreet Kochhar, Harpreet  Kochhar, Harpreet  Kochhar , Harpreet Kochhar, Harpreet Kochhar , Harpreet Kochlar, Harpreet S. Kochhar"
Harri Viksstedt,Canadian Foreign Exchange Committee,2018-06-25,2018-06-25,1,Harri Viksstedt
Harri Vikstedt,Senior Director,2016-04-19,2017-08-24,4,Harri Vikstedt
Harriet Jackson,Chief of Staff and Advisor to Senior Deputy Governor,2019-08-27,2024-05-28,4,"Harriet  Jackson, Harriet Jackson"
Harriet Roos,Deputy Director,2022-07-13,2025-03-26,3,"Harriet  Roose, Harriet Roos"
Harris Berton,Senior Advisor,2020-09-04,2020-09-04,1,Harris Berton
Harris Qureshi,Legislative Assistant,2019-02-05,2019-02-05,1,Harris Qureshi
Harrison Andruschak,Special Advisor,2022-07-07,2025-05-23,52,"Harrison  Andruschak, Harrison  Andruschak , Harrison Andruschak, Harrison Andruschak , Harrison Andrushchak"
Harrison Paul,Legislative Assistant,2022-02-04,2024-03-19,9,Harrison Paul
Harry Borlase,Policy and Stakeholder Relations,2013-10-01,2013-10-08,2,Harry Borlase
Harry Burton,Director of Operations,2018-05-29,2025-06-13,81,"Harry  Burton, Harry Burton"
