raw name,cleaned name,first_appearance,last_appearance,count,title
Tamer Mansy,Tamer Mansy,2018-02-15,2018-02-15,1,"First Secretary, Development"
Tamera Rudge,Tamera Rudge,2018-04-13,2018-04-13,1,"Director General, Ontario"
Tammy Belanger,Tammy Belanger,2020-11-03,2023-11-02,8,Senior Assistant Deputy Minister
Tammy Bell,Tammy Bell,2020-01-28,2020-07-07,2,Executive Director
Tammy Branch,Tammy Branch,2023-06-07,2025-02-03,4,Assistant Commissioner
Tammy Clifford,Tammy Clifford,2019-06-05,2025-05-30,41,Acting President
Tammy Huston,Tammy Huston,2020-08-12,2020-08-12,1,Senior Account Manager
Tammy Labelle,Tammy Labelle,2016-09-28,2019-07-30,7,Assistant Deputy Minister
Tammy O'grady,Tammy Ogrady,2023-11-27,2023-11-27,1,Senior Personal Advisor to the CIO of Canada
Tammy Paul,Tammy Paul,2021-02-26,2022-06-13,3,Chief of Staff
Tammy Sale,Tammy Sale,2014-10-08,2014-11-19,2,Legislative Assistant
Tammy Schulz,Tammy Schulz,2011-05-18,2025-03-05,23,Director General
Tammy Simpson,Tammy Simpson,2018-07-26,2018-07-26,1,Director
Tammy Switucha,Tammy Switucha,2018-06-29,2022-06-09,14,Executive Director
Tamra Kronis,Tamara Kronis,2025-05-22,2025-05-22,1,Member of Parliament
Tamsyn Farr,Tamsyn Farr,2020-08-04,2020-08-04,1,Senior Policy and Research Analyst
Tania Amghar,Tania Amghar,2018-01-09,2025-02-12,34,Regional Advisor | Policy Advisor
Tania Amghard,Tania Amghard,2022-12-05,2022-12-05,1,Policy Advisor and Regional Advisor for Quebec
Tania Belisle - Leclerc,Tania Belisle-leclerc,2023-08-23,2023-08-23,1,Director of Policy
Tania Belisle Leclerc,Tania Belisle-leclerc,2024-01-10,2024-01-10,1,Director of Policy
Tania Belisle-leclerc,Tania Belisle-leclerc,2018-08-15,2025-03-24,54,Director of Policy
Tania Bennett,Tania Bennett,2020-11-04,2020-11-04,1,"Senior Advisor to the Vice President, Innovation"
Tania Bourassa-ochoa,Tania Bourassa-ochoa,2024-07-11,2024-07-11,1,Deputy Chief Economist
Tania Frank,Tania Frank,2016-03-23,2016-03-23,1,"Manager, PIPEDA Investigations"
Tania Gordanier,Tania Gordanier,2019-02-01,2025-02-20,3,"Manager, Contaminated Sites and Major Project Coordination"
Tania Mackinnon,Tania Mackinnon,2022-07-13,2022-07-13,1,Senior Development Officer
Tania Mcclements,Tania Mcclements,2008-10-10,2008-10-10,1,Senior Program Officer
Tania Monaghan,Tania Monaghan,2022-02-11,2024-04-12,12,Director of Rights Implementation
Tania Monoghan,Tania Monoghan,2021-12-02,2021-12-02,1,Director of Rights Implementation
Tania Vogel,Tania Vogel,2021-06-25,2021-07-27,2,Senior Energy Policy Analyst
Tanis Stefanis,Tanis Stefanis,2022-05-17,2022-05-17,1,Associate Vice President
Tanjan Islam,Tanjan Islam,2023-06-29,2023-06-29,1,Economist
Tanjana Islam,Tanjana Islam,2022-09-21,2024-09-06,3,Analyst
Tanmay Praharaj,Tanmay Praharaj,2018-02-23,2024-06-11,3,Head
Tannis Bujaczek,Tannis Bujaczek,2023-07-05,2023-07-05,1,Director
Tanuga Kulkarni,Tanuga Kulkarni,2018-03-16,2018-03-16,1,Manager
Tanuja Mukhedkar,Tanuja Mukhedkar,2024-08-28,2024-08-28,1,Senior Program Engineer
Tanveer Kaur,Tanveer Kaur,2023-10-04,2023-10-04,1,Regional Advisor
Tanveer Kaur Tur,Tanveer Kaur Tur,2023-04-26,2024-09-26,4,"Regional Advisor, Ontario"
Tanveer Sandhu,Tanveer Sandhu,2022-04-06,2023-09-01,10,Stakeholder Relations and Outreach Advisor
Tanveer Tur,Tanveer Tur,2024-11-07,2024-11-07,1,"Regional Advisor, Ontario"
Tanveerkaur Tur,Tanveerkaur Tur,2023-10-05,2025-02-01,3,Regional Advisor
Tany Peatt,Tanya Peatt,2012-10-24,2012-10-24,1,Director of Policy
Tanya Dare,Tanya Dare,2015-03-02,2021-05-12,2,Manager | Senior Policy Advisor
Tanya Day,Tanya Day,2023-08-23,2024-05-28,7,Executive Director
Tanya Dupis,Tanya Dupis,2018-11-27,2018-11-27,1,Advisor
Tanya Dupuis,Tanya Dupis,2018-11-27,2018-11-27,1,Advisor
Tanya Gadzos,Tanya Gadzos,2024-11-08,2024-11-25,3,Senior Program Officer
Tanya Hinton,Tanya Hinton,2021-07-09,2025-02-06,3,Senior Advisor and Specialist
Tanya Lalonde,Tanya Lalonde,2016-05-18,2017-06-14,45,Policy Advisor
Tanya Nayler,Tanya Nayler,2022-09-20,2022-11-01,2,Legislative Assistant
Tanya Naylor,Tanya Nayler,2024-11-19,2024-11-19,1,Legislative Assistant
Tanya Osiowy,Tanya Osiowy,2020-07-16,2020-07-16,1,Director
Tanya Peat,Tanya Peatt,2008-12-16,2011-02-08,13,Director of Policy
Tanya Peatt,Tanya Peatt,2008-07-21,2025-03-06,205,Director of Policy
Tanya Potashnick,Tanya Potashnick,2018-12-11,2018-12-11,1,Director
Tanya Potashnik,Tanya Potashnik,2020-12-09,2022-07-07,3,Director of Policy and Economic Analysis
Tanya Preatt,Tanya Preatt,2017-02-23,2017-02-23,1,Senior Policy Advisor
Tanya Ramsamy,Tanya Ramsamy,2016-12-19,2024-12-18,4,"Director, PDD"
Tanya Trevors,Tanya Trevors,2022-10-17,2023-09-06,2,"Director, Women’s and Children’s Health and Rights"
Tanya-michelle Contente,Tanya-michelle Contente,2022-10-06,2022-10-06,2,Parliamentary Assistant
Tanzeel Merchant,Tanzeel Merchant,2022-06-10,2024-01-08,8,Regional Director General
Tao Pham,Tao Pham,2020-03-11,2020-03-11,1,Associate Deputy Minister
Taous Ait,Taous Ait,2023-12-15,2024-09-10,19,Policy Advisor
Tapely Catrina,Tapely Catrina,2011-06-06,2011-06-06,1,"Associate Assistant Deputy Minister, Citizenship"
Tapley Catrina,Tapley Catrina,2016-12-12,2016-12-12,1,Assistant Secretary
Tara Beauport,Tara Beauport,2022-10-06,2022-10-06,1,Press Attaché
Tara Beitel,Tara Beitel,2020-08-25,2020-08-25,2,Senior Policy Advisor
Tara Bower,Tara Bower,2012-04-24,2012-04-24,1,Director
Tara Carney,Tara Carney,2017-06-22,2022-08-22,5,"Director, International Humanitarian Assistance"
Tara Cosgrove,Tara Cosgrove,2017-05-11,2019-02-05,4,Executive Director
Tara Denham,Tara Denham,2019-03-25,2024-01-09,4,Director General
Tara Dobson,Tara Dobson,2018-03-13,2018-03-13,1,Senior Policy Advisor
Tara Frezza,Tara Frezza,2017-05-11,2018-07-27,3,"Manager, Legislation"
Tara Fulton,Tara Fulton,2023-08-30,2023-08-30,1,Associate Director
Tara Gray,Tara Gray,2014-12-12,2019-09-27,2,Director
Tara Hartley,Tara Hartley,2023-08-15,2024-07-09,4,Regional Director
Tara Hogeterp,Tara Hogeterp,2016-04-11,2016-04-11,1,Legislative and Communications Assistant
Tara Lapointe,Tara Lapointe,2024-04-30,2025-05-28,15,"Vice President, Stakeholder Engagement and Advancement of Society"
Tara Martin,Tara Martin,2021-11-22,2021-11-22,1,Policy Research Analyst
Tara O'byrne,Tara Obyrne,2024-03-19,2024-03-19,1,"Senior Policy Advisor, Aviation Security"
Tara Preston,Tara Preston,2021-06-23,2021-06-23,2,Deputy Minister
Tara Scheurwater,Tara Scheurwater,2022-04-13,2024-06-21,3,Consul General
Tara Schuerwater,Tara Schuerwater,2018-11-30,2018-11-30,1,Senior Trade Commissioner
Tara Shannon,Tara Shannon,2013-10-11,2025-03-11,161,Assistant Deputy Minister
Tara Sheppard,Tara Sheppard,2020-10-09,2021-05-17,2,Constituency Assistant
